,ATTITUDE
0,4
1,6
2,10
3,10
4,11
5,14
6,20
7,20
8,25
9,30
10,36
11,39
12,40
13,44
14,46
15,52
16,54
17,59
18,64
19,66
20,68
21,74
22,79
23,83
24,83
25,88
26,94
27,95
28,96
29,98
30,98
31,98
32,99
33,100
34,100
35,105
36,110
37,115
38,121
39,121
40,125
41,130
42,132
43,137
44,138
45,142
46,145
47,146
48,147
49,151
50,155
51,160
52,162
53,167
54,173
55,177
56,181
57,183
58,185
59,191
60,196
61,201
62,205
63,206
64,209
65,209
66,213
67,215
68,216
69,218
70,222
71,227
72,228
73,232
74,235
75,241
76,247
77,248
78,252
79,254
80,255
81,255
82,260
83,260
84,261
85,265
86,269
87,275
88,276
89,277
90,277
91,277
92,279
93,282
94,282
95,288
96,294
97,295
98,300
99,303
100,305
101,310
102,311
103,313
104,313
105,316
106,322
107,327
108,330
109,331
110,334
111,335
112,335
113,339
114,340
115,340
116,341
117,344
118,345
119,347
120,349
121,351
122,354
123,354
124,358
125,359
126,359
127,362
128,366
129,367
130,367
131,368
132,374
133,375
134,377
135,380
136,381
137,386
138,392
139,395
140,401
141,402
142,405
143,406
144,409
145,413
146,418
147,420
148,425
149,426
150,432
151,436
152,437
153,441
154,445
155,447
156,449
157,454
158,458
159,458
160,459
161,463
162,464
163,469
164,470
165,474
166,474
167,479
168,483
169,485
170,488
171,489
172,490
173,492
174,492
175,493
176,497
177,503
178,508
179,511
180,512
181,512
182,513
183,517
184,519
185,520
186,523
187,528
188,529
189,533
190,536
191,537
192,542
193,547
194,548
195,549
196,550
197,551
198,552
199,552
200,553
201,554
202,555
203,556
204,557
205,557
206,557
207,558
208,558
209,558
210,559
211,560
212,561
213,562
214,562
215,562
216,562
217,562
218,562
219,562
220,563
221,563
222,563
223,564
224,565
225,565
226,566
227,567
228,567
229,568
230,569
231,570
232,570
233,570
234,570
235,571
236,571
237,571
238,572
239,572
240,573
241,574
242,575
243,576
244,576
245,576
246,577
247,578
248,579
249,580
250,581
251,582
252,582
253,583
254,583
255,583
256,584
257,585
258,586
259,587
260,588
261,589
262,590
263,591
264,591
265,592
266,592
267,592
268,592
269,592
270,593
271,593
272,594
273,594
274,595
275,595
276,595
277,595
278,596
279,597
280,598
281,599
282,599
283,600
284,600
285,594
286,591
287,585
288,583
289,582
290,578
291,572
292,572
293,571
294,565
295,560
296,559
297,555
298,552
299,548
300,544
301,541
302,540
303,537
304,537
305,533
306,530
307,526
308,521
309,516
310,511
311,509
312,507
313,502
314,500
315,500
316,494
317,490
318,486
319,481
320,477
321,476
322,471
323,469
324,464
325,464
326,462
327,457
328,456
329,454
330,448
331,447
332,443
333,437
334,431
335,425
336,424
337,424
338,421
339,417
340,413
341,410
342,409
343,403
344,397
345,394
346,393
347,388
348,383
349,377
350,371
351,369
352,367
353,361
354,359
355,356
356,351
357,347
358,346
359,345
360,343
361,339
362,335
363,332
364,331
365,328
366,324
367,319
368,317
369,317
370,314
371,313
372,307
373,302
374,298
375,298
376,294
377,294
378,289
379,284
380,279
381,273
382,272
383,269
384,263
385,261
386,260
387,254
388,250
389,250
390,244
391,240
392,240
393,240
394,239
395,233
396,229
397,228
398,227
399,223
400,220
401,218
402,216
403,214
404,214
405,210
406,205
407,204
408,201
409,198
410,195
411,192
412,191
413,191
414,190
415,186
416,184
417,181
418,177
419,175
420,173
421,167
422,167
423,166
424,162
425,156
426,151
427,149
428,145
429,144
430,143
431,141
432,141
433,141
434,138
435,133
436,128
437,125
438,124
439,124
440,122
441,117
442,111
443,106
444,101
445,101
446,101
447,99
448,99
449,93
